og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,sym_RS_scored
Neobuxbaumia.macrocephala,Cactaceae,0.625,NA,NA,"Zapotitlán de las Salinas, Puebla (Mexico)",18.33333333,-97.46666667,1550,Desert,Valiente-Banuet et al. (1997). Amer. J. Bot. 84: 452-455.,NA,SI,1,NA,NA,NA,Open at night,marcoshighquality,0.625,Neobuxbaumia macrocephala,NA
Neobuxbaumia.mezcalaensis,Cactaceae,0.645833333,NA,NA,"Zapotitlán de las Salinas, Puebla (Mexico)",18.33333333,-97.46666667,1550,Desert,Valiente-Banuet et al. (1997). Amer. J. Bot. 84: 452-455.,NA,SI,1,Ad species. Data for hermaphrodites. Data for males are similar.,NA,NA,Open at night,marcoshighquality,0.645833333,Neobuxbaumia mezcalaensis,NA
Neoregelia.ibitipocensis,Bromeliaceae,2,NA,NA,"Ibitipoca SP, Minas Gerais (Brazil)",-21.67777778,-43.8825,1655,Cloud forest,Freitas et al. (2020). Bot. J. Linn. Soc. 192: 787-802.,NA,SI,1,Apr-May.,NA,NA,Opens at dusk,marcoshighquality,2,Neoregelia ibitipocensis,NA
Neoregelia.oligantha,Bromeliaceae,1,NA,NA,"Ibitipoca SP, Minas Gerais (Brazil)",-21.67777778,-43.8825,1655,Cloud forest,Freitas et al. (2020). Bot. J. Linn. Soc. 192: 787-802.,NA,SC (0.92),0,Mar.,NA,NA,Diurnal anthesis,marcoshighquality,1,Neoregelia oligantha,NA
Nepenthes.mirabilis,Nepenthaceae,12.2,0.14,2,"Bogor Botanic Gardens, West Java (Indonesia)",NA,NA,260,Botanical garden,Handayani (2017). Biodiversitas 18: 1624-1631.,NA,NA,1,Mar-May. D species. Data for males.,NA,NA,NA,marcoshighquality,12.2,Nepenthes mirabilis,NA
Nicotiana.glauca,Solanaceae,2,NA,NA,Colinas de Bello Monte (Venezuela),10.5,-66.88333333,1100,Secondary tropical dry forest,Grases & Ramírez (1998). Rev. Biol. Trop. 46: 1095-1108.,NA,Partially SC,1,All year.,NA,NA,NA,marcoshighquality,2,Nicotiana glauca,NA
Nigella.arvensis,Ranunculaceae,6.5,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,6.5,Nigella arvensis,NA
Nitraria.billardieri,Nitrariaceae,4,NA,NA,Deniliquin (Australia),NA,NA,NA,Semi-arid,Noble & Whalley (1978). Aust. J. Ecol. 3: 141-163.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,4,Nitraria billardieri,NA
Nyssa.yunnanensis,Cornaceae,10 to 14,NA,0,"Puwen Tropical Forest Station, Yunnan (China)",101.1,22.41666667,835 to 900,Riparian temperate forest,Sun et al. (2009). Ann. MO Bot. Gard. 96: 672-684.,NA,NA,1,Cryptic D species. Data for m flowers. Flower length similar for both sexes. Feb-Apr.,NA,NA,NA,marcoshighquality marcoshighquality,12,Nyssa yunnanensis,NA
Nyssa.yunnanensis,Cornaceae,11 to 13,NA,0,NA,NA,NA,NA,NA,Sun et al. (2009). Ann. MO Bot. Gard. 96: 672-684.,NA,NA,1,Cryptic D species. Data for f flowers. Flower length similar for both sexes. Feb-Apr.,NA,NA,NA,marcoshighquality marcoshighquality,12,Nyssa yunnanensis,NA
Ocotea.spixiana,Lauraceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,1,D species. Data valid in general.,NA,NA,NA,marcoshighquality marcoscommunity,1,Ocotea spixiana,NA
Oenothera.casimiri,Onagraceae,0.458333333,0.010878379,NA,Lublin Botanical Garden (Poland),51.26222222,22.51333333,NA,Botanical garden,Anton & Denisow (2018). Plant Syst. Evol. 304: 1231-1243.,1,NA,NA,NA,NA,NA,Nocturnal anthesis,marcoshighquality,0.458333333,Oenothera casimiri,NA
Oenothera.flaemingina,Onagraceae,0.491666667,0.009661217,NA,Lublin Botanical Garden (Poland),51.26222222,22.51333333,NA,Botanical garden,Anton & Denisow (2018). Plant Syst. Evol. 304: 1231-1243.,1,NA,NA,NA,NA,NA,Nocturnal anthesis,marcoshighquality,0.491666667,Oenothera flaemingina,NA
Oenothera.nuda,Onagraceae,0.491666667,0.009889435,NA,Lublin Botanical Garden (Poland),51.26222222,22.51333333,NA,Botanical garden,Anton & Denisow (2018). Plant Syst. Evol. 304: 1231-1243.,1,NA,NA,NA,NA,NA,Nocturnal anthesis,marcoshighquality,0.491666667,Oenothera nuda,NA
Oenothera.paradoxa,Onagraceae,0.404166667,0.007226895,NA,Lublin Botanical Garden (Poland),51.26222222,22.51333333,NA,Botanical garden,Anton & Denisow (2018). Plant Syst. Evol. 304: 1231-1243.,1,NA,NA,NA,NA,NA,Nocturnal anthesis,marcoshighquality,0.404166667,Oenothera paradoxa,NA
Oenothera.rubricaulis,Onagraceae,0.420833333,0.008139766,NA,Lublin Botanical Garden (Poland),51.26222222,22.51333333,NA,Botanical garden,Anton & Denisow (2018). Plant Syst. Evol. 304: 1231-1243.,1,NA,NA,NA,NA,NA,Nocturnal anthesis,marcoshighquality,0.420833333,Oenothera rubricaulis,NA
Olyra.latifolia,Poaceae,7 to 10 h,NA,1,PN Henri Pittier (Venezuela),10.35,-67.68333333,1000 to 1400,Cloud forest,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,SC Xen,0,"Maximum longevity given. M species; data for m flowers. May-Feb (from Seres & Ramírez, 1993). Mating system from Ramírez & Seres (1994).",NA,NA,NA,marcoshighquality marcoshighquality,0.354166667,Olyra latifolia,NA
Olyra.latifolia,Poaceae,3,NA,1,NA,NA,NA,NA,NA,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,SC Xen,0,"Maximum longevity given. M species; data for f flowers. May-Feb (from Seres & Ramírez, 1993). Mating system from Ramírez & Seres (1994).",NA,NA,NA,marcoshighquality marcoshighquality,3,Olyra latifolia,NA
Ononis.ornithopodioides,Fabaceae,3.5,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.5,Ononis ornithopodioides,NA
Ophrys.lutea(=O.fusca),Orchidaceae,15,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,15,Ophrys fusca,NA
Ophrys.sphegodes.ssp.sphegodes,Orchidaceae,15,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,15,Ophrys sphegodes ssp sphegodes,NA
Ophrys.tenthredinifera,Orchidaceae,15,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,15,Ophrys tenthredinifera,NA
Opuntia.elata,Cactaceae,0.5125,0.021301408,NA,"Anahí Farm, Mato Grosso do Sul (Brazil)",-21.68695833,-57.73556111,93,Chaco: tropical dry forest,Fachardo & Sigrist (2020). Plant Biol. 22: 487-493.,NA,"SC (0.82, 1.26)",1,"Dec-Feb. Altitude, floral longevity and flower diameter provided by André Fachardo.",NA,NA,Open at dawn,marcoshighquality,0.5125,Opuntia elata,NA
Opuntia.lindheimeri(=O.engelmannii.subsp.lindheimeri),Cactaceae,1,NA,NA,"four sites around Austin, Texas (USA)",NA,NA,NA,Desert,Grant et al. (1979). Plant Syst. Evol. 132: 313-320.,NA,SC,0,Apr-May.,NA,NA,Open in the morning.,marcoshighquality,1,Opuntia engelmannii subsp lindheimeri,NA
Opuntia.microdasys,Cactaceae,0.458333333,NA,NA,"Mapini BR, Durango (Mexico)",26.68333333,-103.75,1150,Desert,Piña et al. (2007). Plant Ecol. 193: 305-313.,NA,SI,1,Apr.,NA,NA,Open in the morning.,marcoshighquality,0.458333333,Opuntia microdasys,NA
Opuntia.quimilo,Cactaceae,2.8,0.63,NA,"Quilino, Córdoba (Argentina)",NA,NA,NA,Chaco: tropical dry forest,Díaz & Cocucci (2003). Plant Biol. 5: 531-539.,NA,SC,1,Sep-Mar. Gd species; data for hermaphrodites. No info about whether SD or SE is reported.,NA,NA,NA,marcoshighquality marcoshighquality,2.8,Opuntia quimilo,NA
Opuntia.quimilo,Cactaceae,2.25,0.45,NA,NA,NA,NA,NA,NA,Díaz & Cocucci (2003). Plant Biol. 5: 531-539.,NA,NA,1,Gd species; data for females. No info about whether SD or SE is reported.,NA,NA,NA,marcoshighquality marcoshighquality,2.25,Opuntia quimilo,NA
Opuntia.rastrera,Cactaceae,0.416666667,NA,NA,"Mapini BR, Durango (Mexico)",26.66666667,-103.6666667,1100,Desert,Mandujano et al. (1996). Amer. J. Bot. 83: 63-70.,NA,SC Fac xen-Fac aut,1,Mar-Jun.,NA,NA,Diurnal anthesis,marcoshighquality,0.416666667,Opuntia rastrera,NA
Opuntia.retrorsa,Cactaceae,0.308333333,0.005486726,NA,"Anahí Farm, Mato Grosso do Sul (Brazil)",-21.68695833,-57.73556111,93,Chaco: tropical dry forest,Fachardo & Sigrist (2020). Plant Biol. 22: 487-493.,NA,"SC (0.33, 0.75)",1,"Dec-Feb. Altitude, floral longevity and flower diameter provided by André Fachardo.",NA,NA,Open at dawn,marcoshighquality,0.308333333,Opuntia retrorsa,NA
Opuntia.robusta,Cactaceae,0.291666667,NA,NA,"Rancho Santa Rosa, San Luis Potosí (Mexico)",22.68333333,-101.6833333,2090,Desert,del Castillo & González-Espinoza (1988). Agrociencia 71:185-196.,NA,NA,NA,Mar-May. T species. Data for males.,NA,NA,Diurnal anthesis,marcoshighquality marcoshighquality marcoshighquality,0.291666667,Opuntia robusta,NA
Opuntia.robusta,Cactaceae,2,NA,NA,NA,NA,NA,NA,NA,del Castillo & González-Espinoza (1988). Agrociencia 71:185-196.,NA,NA,NA,"Mar-May. T species. Data for hermaphrodites, that keep flowers open a second day due to low visitation rates.",NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality,2,Opuntia robusta,NA
Opuntia.robusta,Cactaceae,2,NA,NA,NA,NA,NA,NA,NA,del Castillo & González-Espinoza (1988). Agrociencia 71:185-196.,NA,NA,NA,"Mar-May. T species. Data for females, that keep flowers open a second day due to low visitation rates.",NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality,2,Opuntia robusta,NA
Osyris.alba,Santalaceae,2.5,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.5,Osyris alba,NA
Ouratea.hexasperma,Ochnaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,0,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Ouratea hexasperma,NA
Oxalis.pes-caprae,Oxalidaceae,6,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,1,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,6,Oxalis pes-caprae,NA
Pachycereus.pecten-aboriginum,Cactaceae,0.833333333,NA,NA,"Rancho San Francisco, Sonora (Mexico)",28.68333333,-110.2666667,NA,Tropical deciduous forest,Molina-Freaner et al. (2004). J. Arid Environ. 56: 117-127.,NA,SI,1,NA,NA,NA,Open at dusk,marcoshighquality,0.833333333,Pachycereus pecten-aboriginum,NA
Pachycereus.pringlei,Cactaceae,0.666666667,NA,NA,"Bahia Kino, Sonora (Mexico)",28.83333333,-112.0833333,200-450 m,Desert,Fleming et al. (1996). Southwest. Nat. 41: 257-269.,NA,SC,1,Apr-Jun. T species. H are SC.,NA,NA,Open at sunset,marcoshighquality,0.666666667,Pachycereus pringlei,NA
Pachygenium.bonariense,Orchidaceae,19.8,1.01387907,2,"Parque Estadual das Guaritas, Rio Grande do Sul (Brazil)",-29.35222222,-49.73083333,coastal,Grassy,Buzatto et al. (2022). Pl. Sp. Biol. 37: 182-196.,NA,SC Xen,1,NA,NA,NA,NA,marcoshighquality,19.8,Pachygenium bonariense,NA
Pachygenium.pteryganthum,Orchidaceae,12.14,0.197338054,2,"Tramandai, Rio Grande do Sul (Brazil)",-30.01166667,-50.13666667,coastal,Grassy,Buzatto et al. (2022). Pl. Sp. Biol. 37: 182-196.,NA,SC Xen,1,NA,NA,NA,NA,marcoshighquality,12.14,Pachygenium pteryganthum,NA
Paeonia.californica,Paeoniaceae,6 to 10 days,NA,0,Three sites in S California (USA),NA,NA,365-855 m,Chaparral,Schlising (1976). Amer. J. Bot. 63: 1095-1103.,NA,SC Xen,1,Mar-Apr.,NA,NA,NA,marcoshighquality,8,Paeonia californica,NA
Palicourea.galeottiana,Rubiaceae,1,NA,0,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Palicourea galeottiana,NA
Palicourea.macrocalyx,Rubiaceae,1.9,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.9,Palicourea macrocalyx,NA
Palicourea.montivaga,Rubiaceae,1,NA,0,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Palicourea montivaga,NA
Palicourea.rigida,Rubiaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Palicourea rigida,NA
Pallenis.spinosa,Asteraceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Pallenis spinosa,NA
Pancratium.parviflorum(=Vagaria.parviflora),Amaryllidaceae,1.2,0.183847763,NA,(Israel),NA,NA,NA,Mediterranean scrubland,Dafni (1996). Bocconea 5: 171-181.,NA,NA,1,Sep-Nov.,NA,NA,NA,marcoshighquality,1.2,Vagaria parviflora,NA
Papaver.rhoeas,Papaveraceae,1.1,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.1,Papaver rhoeas,NA
Pariana.stenolemma,Poaceae,4 to 8 h,NA,1,PN Henri Pittier (Venezuela),10.35,-67.68333333,1000 to 1400,Cloud forest,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,SC Xen,0,"Maximum longevity given. M species; data for m flowers. May-Jan (from Seres & Rodríguez, 1993). Mating system from Ramírez & Seres (1994).",NA,NA,NA,marcoshighquality marcoshighquality,0.25,Pariana stenolemma,NA
Pariana.stenolemma,Poaceae,10 to 12 h,NA,1,NA,NA,NA,NA,NA,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,SC Xen,0,"Maximum longevity given. M species; data for f flowers. May-Jan (from Seres & Rodríguez, 1993). Mating system from Ramírez & Seres (1994).",NA,NA,NA,marcoshighquality marcoshighquality,0.458333333,Pariana stenolemma,NA
Passiflora.suberosa,Passifloraceae,1,NA,NA,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Passiflora suberosa,NA
Paullinia.weinmanniifolia,Sapindaceae,2,NA,NA,"EPA of Maricá, Rio de Janeiro (Brazil)",-22.875,-42.85833333,< 50 m,Restinga,de Lima et al. (2016). Plant Syst. Evol. 302: 109-120.,NA,NA,NA,M species. Data for male flowers,NA,NA,Open at night,marcoshighquality marcoshighquality,2,Paullinia weinmanniifolia,NA
Paullinia.weinmanniifolia,Sapindaceae,2,NA,NA,NA,NA,NA,NA,NA,de Lima et al. (2016). Plant Syst. Evol. 302: 109-120.,NA,NA,NA,M species. Data for female flowers.,NA,NA,Open at night,marcoshighquality marcoshighquality,2,Paullinia weinmanniifolia,NA
Pavonia.rosea(=P.schiedeana),Malvaceae,1,NA,0,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Pavonia schiedeana,NA
Pedicularis.hirsuta,Orobanchaceae,3.3,0.065512178,NA,"Latnjajaure Field Station, Lappland (Sweden)",68.35,18.21666667,1000,Alpine tundra,Eriksen et al. (1993). Ecography 16: 154-166.,NA,SC Self,1,Jul.,NA,NA,NA,marcoshighquality,3.3,Pedicularis hirsuta,NA
Pedicularis lapponica,Orobanchaceae,4.9,0.165647289,NA,"Latnjajaure Field Station, Lappland (Sweden)",68.35,18.21666667,1000,Alpine tundra,Eriksen et al. (1993). Ecography 16: 154-166.,NA,SC Mix,1,Jul.,NA,NA,NA,marcoshighquality marcoshighquality,4.9,Pedicularis lapponica,NA
Pedicularis lapponica,Orobanchaceae,3.3,0.108386221,NA,"Abisko Research Station, Lappland (Sweden)",68.36666667,18.81666667,400,Boreal forest,Eriksen et al. (1993). Ecography 16: 154-166.,NA,SC Xen,1,Jun-Jul.,NA,NA,NA,marcoshighquality marcoshighquality,3.3,Pedicularis lapponica,NA
Pedicularis.palustris,Orobanchaceae,2.8,0.25,3,Lake Hohn (Germany),54.3,9.45,NA,Fen,Karrenberg & Jensen (2000). Folia Geobot. 35: 191-202.,NA,SC Xen,NA,May.,6.6,1.54735904,NA,marcoshighquality marcoshighquality,2.8,Pedicularis palustris,NA
Pedicularis.palustris,Orobanchaceae,1.9,0.2,3,Lehmkuhlener Stauung (Germany),54.2,10.33333333,NA,Mire,Karrenberg & Jensen (2000). Folia Geobot. 35: 191-202.,NA,NA,NA,NA,7.6,3.3,NA,marcoshighquality marcoshighquality,1.9,Pedicularis palustris,NA
Pedicularis.siphonantha,Orobanchaceae,4.5,0.1,3,"Sangri-La, Yunnan (China)",27.95555556,99.70305556,3420,Wet alpine meadow,Dai et al. (2017). J. Mt. Sci. 14: 1995-2002.,NA,SC Mix,0,Flower length estimated as length of corolla tube in Fig. 1 B,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality,4.5,Pedicularis siphonantha,NA
Pedicularis.siphonantha,Orobanchaceae,6,0.08,3,"Sangri-La, Yunnan (China)",28.39833333,98.98555556,3860,Forest edge,Dai et al. (2017). J. Mt. Sci. 14: 1995-2002.,NA,NA,0,Flower length estimated as length of corolla tube in Fig. 1 B,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality,6,Pedicularis siphonantha,NA
Pedicularis.siphonantha,Orobanchaceae,6,0.1,3,"Sangri-La, Yunnan (China)",28.38055556,99.0125,4300,Wet alpine meadow,Dai et al. (2017). J. Mt. Sci. 14: 1995-2002.,NA,NA,0,Flower length estimated as length of corolla tube in Fig. 1 B,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality,6,Pedicularis siphonantha,NA
Petrocoptis.grandiflora,Caryophyllaceae,3.9,0.155405738,NA,"3 sites at El Bierzo, León (Spain)",NA,NA,450 to 650,Limestone cliffs in submediterranean forest,Navarro et al. (1993). Flora 188: 253-261.,NA,SC Mix,1,Mar-Jun.,NA,NA,NA,marcoshighquality,3.9,Petrocoptis grandiflora,NA
Petrocoptis.montsicciana,Caryophyllaceae,4 to 6,NA,0,2 sites at pre-Pyreneean Lerida (Spain),NA,NA,280 to 380,Cliff,Bosch et al. (2002). Biol. J. Linn. Soc. 76: 79-90.,NA,SC Mix,1,late Mar-Jun.,NA,NA,NA,marcoshighquality,5,Petrocoptis montsicciana,NA
Petrorhagia.velutina(=P.dubia),Caryophyllaceae,4,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4,Petrorhagia dubia,NA
Petunia.mantiqueirensis,Solanaceae,4.6,0.29398736600000003,NA,"Fernao Dias preserve, Minas Gerais (Brazil)",-22.70823333,-45.94226667,1730,Araucaria mixed forest,De Araujo et al. (2020). Biol. J. Linn. Soc. 129: 273-287.,NA,SI,NA,NA,7.1,0.187082869,NA,marcoshighquality,4.6,Petunia mantiqueirensis,NA
Petunia.secreta,Solanaceae,2,NA,NA,"Caçapava do Sul, Rio Grande do Sul (Brazil)",NA,NA,350,NA,Rodrigues et al. (2018). AoB Plants 10: ply057.,NA,NA,NA,NA,4,NA,NA,marcoshighquality,2,Petunia secreta,NA
Phagnalon.graecum,Asteraceae,1.6,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.6,Phagnalon graecum,NA
Phlomis.fruticosa,Lamiaceae,3.1,0.24,3,Daphni (Greece),NA,NA,135 to 215,Mediterranean scrubland,Petanidou & Vokou (1993). Amer. J. Bot. 80: 892-899.,NA,NA,1,NA,NA,NA,NA,marcoshighquality,3.1,Phlomis fruticosa,NA
Phlox.divaricata,Polemoniaceae,5 to 6 (10),NA,0,"Trelease Woods, Urbana, Illinois (USA)",NA,NA,NA,Temperate forest,Willson et al. (1979). Evolution 33: 57-73.,NA,SC,NA,Apr-May.,NA,NA,NA,marcoshighquality marcoslowquality,5.5,Phlox divaricata,NA
Phoebe.eryhtropus(Cinnamomum.erythropus),Lauraceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,1,D species. Data valid in general.,NA,NA,NA,marcoshighquality marcoscommunity,1,Cinnamomum erythropus,NA
Phyloxerus.vermicularis(=Blutaparon.vermiculare),Amaranthaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Blutaparon vermiculare,NA
Physalis.angulata,Solanaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Physalis angulata,NA
Phytolacca.rivinoides,Phytolaccaceae,2,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2,Phytolacca rivinoides,NA
Pilosocereus.moritzianus,Cactaceae,0.708333333,NA,NA,Pueblo de Mamo (Venezuela),10.88333333,-67.03333333,NA,Desert,Nassar et al. (1997). Amer. J. Bot. 84: 918-927.,NA,SC (0.35),1,"Mar-Jul. Approximate floral longevity (estimated opening 1900, estimated closing 1200).",NA,NA,Open at night,marcoshighquality,0.708333333,Pilosocereus moritzianus,NA
Pilostyles.thurberi,Apodanthaceae,1,NA,0,"Los Trigos, Querétaro (Mexico)",20.9103,-100.1997583,2658,Xerophitic shrubland,Ortega-González et al. (2023). Pl. Sp. Biol. 38: 40-53.,NA,NA,Traces,Aug-Oct. Unisexual flowers; data valid for both sexes.,NA,NA,Open along the whole day,marcoshighquality marcoslowquality,1,Pilostyles thurberi,NA
Pinguicula.alpina,Lentibulariaceae,12.6,0.4,NA,"Abisko Scientific Station, Lapland (Sweden)",68.35,18.81666667,350,Subarctic solifluction soils,Molau (1993). Nord. J. Bot. 13: 149-157.,NA,SI? Xen,NA,Jun.,NA,NA,NA,marcoshighquality,12.6,Pinguicula alpina,NA
Pinguicula.ionantha,Lentibulariaceae,3,NA,NA,NW Florida (USA),NA,NA,NA,Long leaf pine savannah woodland,Molano-Flores et al. (2018). Plant Sp Biol 33: 129-139.,NA,"SC, Xen",0?,NA,16,NA,NA,marcoshighquality,3,Pinguicula ionantha,NA
Pinguicula.ongifolia.subsp.longifolia,Lentibulariaceae,27.1,2.080125736,NA,"Añisclo canyon, Ordesa NP (Spain)",42.53333333,0.008333333,800,Cliffs,García et al. (1994). Acta Bot. Gall. 141: 343-349.,NA,Not spo aut,Little,Apr-May.,NA,NA,NA,marcoshighquality,27.1,Pinguicula ongifolia subsp longifolia,NA
Pinguicula.lutea,Lentibulariaceae,5,NA,NA,NW Florida (USA),NA,NA,NA,Long leaf pine savannah woodland,Molano-Flores et al. (2018). Plant Sp Biol 33: 129-139.,NA,"SC, Xen",0?,NA,21,NA,NA,marcoshighquality,5,Pinguicula lutea,NA
Pinguicula.moranensis,Lentibulariaceae,9,1.423024947,NA,"Cuernavaca, Morelos (Mexico)",18.96666667,-99.28333333,2170,Lab,Villegas & Alcalá (2018) Plant Biol 20: 205-212./Alcalá et al. (2010) Oikos 119: 891-895.,NA,"SC, Xen",0?,Jun-Aug.,NA,NA,NA,marcoshighquality,9,Pinguicula moranensis,NA
